CantidadDeBeneficiarios,CantidadBeneficioConsolidado,CantidadUltimobeneficio,CodigoDepartamentoAtencion,CodigoMunicipioAtencion,CondicionSexual,Discapacidad,EstadoBeneficiario,EstadoCivil,Etnia,FechaInscripcionBeneficiario,FechaUltimoBeneficioAsignado,Genero,NivelEscolaridad,NombreDepartamentoAtencion,NombreMunicipioAtencion,Pais,RangoEdad,TipoAsignacionBeneficio,TipoBeneficio,TipoDocumento,TipoPoblacion,ValorBeneficioConsolidadoAsignado,ValorUltimoBeneficioAsignado
1,1,1,76,76001,Heterosexual,NO,VINCULADOINSCRITO,Soltero(a),ND,2022-01-01,1900-01-01,Mujer,Básica Secundaria (o  o),VALLE DEL CAUCA,CALI,Colombia,50-65,ND,ND,CC,DOBLE CONDICION,0 - 1.500.000,0 - 1.300.000
1,1,1,88,88564,Heterosexual,NO,VINCULADOINSCRITO,Soltero(a),RAIZAL,2021-01-01,1900-01-01,Mujer,TECNOLÓGICO,SAN ANDRÉS Y PROVIDENCIA,PROVIDENCIA,Colombia,50-65,ND,ND,CC,UNIDOS,0 - 1.500.000,0 - 1.300.000
1,1,1,88,88564,Heterosexual,NO,VINCULADOINSCRITO,Soltero(a),RAIZAL,2021-01-01,1900-01-01,Mujer,TECNOLÓGICO,SAN ANDRÉS Y PROVIDENCIA,PROVIDENCIA,Colombia,50-65,ND,ND,CC,UNIDOS,0 - 1.500.000,0 - 1.300.000
1,1,1,47,47001,Heterosexual,NO,VINCULADOINSCRITO,Unión libre,ND,2022-01-01,1900-01-01,Mujer,Básica primaria (o.  o.),MAGDALENA,SANTA MARTA,Colombia,50-65,ND,ND,CC,NO REGISTRADO,0 - 1.500.000,0 - 1.300.000
1,1,1,68,68081,Heterosexual,NO,VINCULADOINSCRITO,Separado(a) o divorciado(a),ND,2022-01-01,1900-01-01,Mujer,Media (o  o),SANTANDER,BARRANCABERMEJA,Colombia,50-65,ND,ND,CC,DESPLAZADOS,0 - 1.500.000,0 - 1.300.000
1,1,1,54,54001,No responde,NO,VINCULADOINSCRITO,Viudo(a),ND,2022-01-01,1900-01-01,Mujer,Básica Secundaria (o  o),NORTE DE SANTANDER,CÚCUTA,Colombia,30-49,ND,ND,CC,VULNERABLE,0 - 1.500.000,0 - 1.300.000
1,1,1,11,11001,Heterosexual,NO,VINCULADOINSCRITO,Unión libre,ND,2022-01-01,1900-01-01,Hombre,Media (o  o),BOGOTA,BOGOTA D.C.,Colombia,30-49,ND,ND,CC,DESPLAZADOS,0 - 1.500.000,0 - 1.300.000
1,1,1,11,11001,Heterosexual,NO,VINCULADOINSCRITO,Unión libre,ND,2022-01-01,1900-01-01,Hombre,Media (o  o),BOGOTA,BOGOTA D.C.,Colombia,30-49,ND,ND,CC,DESPLAZADOS,0 - 1.500.000,0 - 1.300.000
1,1,1,11,11001,Heterosexual,NO,VINCULADOINSCRITO,Separado(a) o divorciado(a),ND,2022-01-01,1900-01-01,Mujer,Media (o  o),BOGOTA,BOGOTA D.C.,Colombia,30-49,ND,ND,CC,DESPLAZADOS,0 - 1.500.000,0 - 1.300.000
1,1,1,86,86001,Heterosexual,NO,ATENDIDO,Soltero(a),ND,2019-01-01,2021-01-01,Mujer,Media (o  o),PUTUMAYO,MOCOA,Colombia,30-49,ADMINISTRATIVO Y OPERATIVO,ADMINISTRATIVO Y OPERATIVO,CC,DESPLAZADOS,0 - 1.500.000,0 - 1.300.000
1,1,1,86,86001,Heterosexual,NO,ATENDIDO,Soltero(a),ND,2019-01-01,2021-01-01,Mujer,Media (o  o),PUTUMAYO,MOCOA,Colombia,30-49,ADMINISTRATIVO Y OPERATIVO,ADMINISTRATIVO Y OPERATIVO,CC,DESPLAZADOS,0 - 1.500.000,0 - 1.300.000
1,1,1,86,86001,Heterosexual,NO,ATENDIDO,Soltero(a),ND,2019-01-01,2021-01-01,Mujer,Media (o  o),PUTUMAYO,MOCOA,Colombia,30-49,ADMINISTRATIVO Y OPERATIVO,ADMINISTRATIVO Y OPERATIVO,CC,DESPLAZADOS,0 - 1.500.000,0 - 1.300.000
1,1,1,08,08001,Heterosexual,NO,VINCULADOINSCRITO,Unión libre,ND,2022-01-01,1900-01-01,Hombre,Básica Secundaria (o  o),ATLANTICO,BARRANQUILLA,Colombia,50-65,ND,ND,CC,NO REGISTRADO,0 - 1.500.000,0 - 1.300.000
1,1,1,20,20011,Heterosexual,NO,RETIRADO,Soltero(a),ND,2019-01-01,1900-01-01,Hombre,Básica primaria (o.  o.),CESAR,AGUACHICA,Colombia,50-65,ND,ND,CC,DOBLE CONDICION,0 - 1.500.000,0 - 1.300.000
1,1,1,76,76001,Heterosexual,NO,VINCULADOINSCRITO,Soltero(a),AFROCOLOMBIANO - NEGRO,2022-01-01,1900-01-01,Mujer,Media (o  o),VALLE DEL CAUCA,CALI,Colombia,30-49,ND,ND,CC,DOBLE CONDICION,0 - 1.500.000,0 - 1.300.000
1,1,1,76,76001,Heterosexual,NO,VINCULADOINSCRITO,Soltero(a),AFROCOLOMBIANO - NEGRO,2022-01-01,1900-01-01,Mujer,Media (o  o),VALLE DEL CAUCA,CALI,Colombia,30-49,ND,ND,CC,DOBLE CONDICION,0 - 1.500.000,0 - 1.300.000
1,1,1,76,76001,Heterosexual,NO,VINCULADOINSCRITO,Soltero(a),AFROCOLOMBIANO - NEGRO,2022-01-01,1900-01-01,Mujer,Media (o  o),VALLE DEL CAUCA,CALI,Colombia,30-49,ND,ND,CC,DOBLE CONDICION,0 - 1.500.000,0 - 1.300.000
